Time,CO2
8:11:37 AM,546
8:13:37 AM,503
8:15:37 AM,478
8:17:37 AM,477
8:19:37 AM,652
8:21:37 AM,554
8:23:37 AM,688
8:25:37 AM,701
8:27:37 AM,764
8:29:38 AM,775
8:31:38 AM,794
8:33:38 AM,806
8:35:38 AM,826
8:37:38 AM,869
8:39:38 AM,895
8:41:38 AM,929
8:43:38 AM,966
8:45:38 AM,993
8:47:38 AM,994
8:49:38 AM,1012
8:51:38 AM,1070
8:53:38 AM,1097
8:55:38 AM,1153
8:57:38 AM,1191
8:59:38 AM,1184
9:01:38 AM,1214
9:03:38 AM,1224
9:05:38 AM,1281
9:07:38 AM,1320
9:09:38 AM,1355
9:11:38 AM,1384
9:13:38 AM,1416
9:15:38 AM,1428
9:17:38 AM,1459
9:19:38 AM,1488
9:21:38 AM,1522
9:23:38 AM,1539
9:25:38 AM,1599
9:27:38 AM,1632
9:29:38 AM,1629
9:31:38 AM,1627
9:33:38 AM,1614
9:35:38 AM,1597
9:37:38 AM,1585
9:39:38 AM,1608
9:41:38 AM,1647
9:43:38 AM,1609
9:45:38 AM,1570
9:47:38 AM,1543
9:49:38 AM,1552
9:51:38 AM,1555
9:53:38 AM,1560
9:55:38 AM,1608
9:57:38 AM,1587
9:59:38 AM,1558
10:01:38 AM,1569
10:03:38 AM,1589
10:05:38 AM,1632
10:07:38 AM,1627
10:09:38 AM,1648
10:11:38 AM,1676
10:13:38 AM,1666
10:15:38 AM,1663
10:17:38 AM,1643
10:19:38 AM,1642
10:21:38 AM,1628
10:23:38 AM,1619
10:25:38 AM,1586
10:27:38 AM,1564
10:29:38 AM,1557
10:31:38 AM,1496
10:33:38 AM,1481
10:35:38 AM,1458
10:37:38 AM,1439
10:39:38 AM,1439
10:41:38 AM,1420
10:43:38 AM,1412
10:45:38 AM,1374
10:47:38 AM,1343
10:49:38 AM,1330
10:51:38 AM,1326
10:53:38 AM,1299
10:55:38 AM,1310
10:57:38 AM,1296
10:59:38 AM,1281
11:01:38 AM,1266
11:03:38 AM,1242
11:05:38 AM,1229
11:07:38 AM,1248
11:09:38 AM,1261
11:11:38 AM,1281
11:13:38 AM,1325
11:15:38 AM,1334
11:17:38 AM,1349
11:19:38 AM,1373
11:21:38 AM,1387
11:23:38 AM,1407
11:25:38 AM,1466
11:27:38 AM,1492
11:29:38 AM,1489
11:31:38 AM,1492
11:33:38 AM,1520
11:35:38 AM,1533
11:37:38 AM,1559
11:39:38 AM,1551
11:41:38 AM,1591
11:43:38 AM,1630
11:45:38 AM,1642
11:47:38 AM,1661
11:49:38 AM,1662
11:51:38 AM,1652
11:53:38 AM,1679
11:55:38 AM,1704
11:57:38 AM,1731
11:59:38 AM,1736
12:01:38 PM,1770
12:03:38 PM,1736
12:05:38 PM,1764
12:07:38 PM,1758
12:09:38 PM,1736
12:11:38 PM,1734
12:13:38 PM,1701
12:15:38 PM,1631
12:17:38 PM,1622
12:19:38 PM,1575
12:21:38 PM,1560
12:23:38 PM,1540
12:25:38 PM,1504
12:27:38 PM,1500
12:29:38 PM,1465
12:31:38 PM,1407
12:33:38 PM,1388
12:35:38 PM,1385
12:37:38 PM,1359
12:39:38 PM,1336
12:41:38 PM,1322
12:43:38 PM,1324
12:45:38 PM,1335
12:47:38 PM,1272
12:49:38 PM,1279
12:51:38 PM,1270
12:53:38 PM,1251
12:55:38 PM,1247
12:57:38 PM,1257
12:59:38 PM,1230
1:01:38 PM,1233
1:03:38 PM,1197
1:05:38 PM,1188
1:07:38 PM,1195
1:09:38 PM,1178
1:11:38 PM,1190
1:13:38 PM,1173
1:15:38 PM,1195
1:17:38 PM,1228
1:19:38 PM,1227
1:21:38 PM,1247
1:23:38 PM,1254
1:25:38 PM,1312
1:27:38 PM,1306
1:29:38 PM,1354
1:31:38 PM,1358
1:33:38 PM,1366
1:35:38 PM,1377
1:37:38 PM,1385
1:39:38 PM,1411
1:41:38 PM,1444
1:43:38 PM,1462
1:45:38 PM,1420
1:47:38 PM,1421
1:49:38 PM,1432
1:51:38 PM,1431
1:53:38 PM,1496
1:55:38 PM,1510
1:57:38 PM,1542
1:59:38 PM,1581
2:01:38 PM,1545
2:03:38 PM,1578
2:05:38 PM,1600
2:07:38 PM,1614
2:09:38 PM,1626
2:11:38 PM,1657
2:13:38 PM,1688
2:15:38 PM,1772
2:17:38 PM,1770
2:19:38 PM,1779
2:21:38 PM,1811
2:23:38 PM,1853
2:25:38 PM,1933
2:27:38 PM,1935
2:29:38 PM,1928
2:31:38 PM,1928
2:33:38 PM,1932
2:35:38 PM,1935
2:37:38 PM,1917
2:39:38 PM,1945
2:41:38 PM,1985
2:43:38 PM,2017
2:45:38 PM,2088
2:47:38 PM,2005
2:49:38 PM,2084
2:51:38 PM,1916
2:53:38 PM,1554
2:55:38 PM,1323
