Time,CO2
8:16:53 AM,574
8:18:53 AM,748
8:20:53 AM,920
8:22:53 AM,679
8:24:53 AM,673
8:26:53 AM,677
8:28:53 AM,697
8:30:53 AM,713
8:32:53 AM,728
8:34:53 AM,720
8:36:53 AM,739
8:38:53 AM,780
8:40:53 AM,784
8:42:53 AM,786
8:44:53 AM,764
8:46:53 AM,740
8:48:53 AM,725
8:50:53 AM,701
8:52:53 AM,681
8:54:53 AM,657
8:56:53 AM,631
8:58:53 AM,634
9:00:53 AM,608
9:02:53 AM,608
9:04:53 AM,601
9:06:53 AM,585
9:08:53 AM,572
9:10:53 AM,574
9:12:53 AM,568
9:14:53 AM,568
9:16:53 AM,550
9:18:53 AM,563
9:20:53 AM,548
9:22:53 AM,536
9:24:53 AM,536
9:26:53 AM,532
9:28:53 AM,530
9:30:53 AM,527
9:32:53 AM,517
9:34:53 AM,523
9:36:53 AM,509
9:38:53 AM,513
9:40:53 AM,518
9:42:53 AM,520
9:44:53 AM,523
9:46:53 AM,504
9:48:53 AM,506
9:50:53 AM,498
9:52:53 AM,505
9:54:53 AM,506
9:56:53 AM,498
9:58:53 AM,503
10:00:53 AM,504
10:02:53 AM,498
10:04:53 AM,497
10:06:53 AM,484
10:08:53 AM,488
10:10:53 AM,500
10:12:53 AM,478
10:14:53 AM,481
10:16:53 AM,486
10:18:53 AM,476
10:20:53 AM,490
10:22:53 AM,486
10:24:53 AM,520
10:26:53 AM,549
10:28:53 AM,571
10:30:53 AM,612
10:32:53 AM,626
10:34:53 AM,675
10:36:53 AM,696
10:38:53 AM,678
10:40:53 AM,650
10:42:53 AM,628
10:44:53 AM,600
10:46:53 AM,590
10:48:53 AM,563
10:50:53 AM,565
10:52:53 AM,554
10:54:53 AM,548
10:56:53 AM,541
10:58:53 AM,534
11:00:53 AM,522
11:02:53 AM,531
11:04:53 AM,520
11:06:53 AM,514
11:08:53 AM,511
11:10:53 AM,503
11:12:53 AM,508
11:14:53 AM,506
11:16:53 AM,510
11:18:53 AM,541
11:20:53 AM,557
11:22:53 AM,598
11:24:53 AM,635
11:26:53 AM,689
11:28:53 AM,722
11:30:53 AM,729
11:32:53 AM,704
11:34:53 AM,702
11:36:53 AM,675
11:38:53 AM,661
11:40:53 AM,653
11:42:53 AM,658
11:44:53 AM,664
11:46:53 AM,656
11:48:53 AM,643
11:50:53 AM,649
11:52:53 AM,632
11:54:53 AM,668
11:56:53 AM,698
11:58:53 AM,718
12:00:53 PM,740
12:02:53 PM,751
12:04:53 PM,764
12:06:53 PM,794
12:08:53 PM,809
12:10:53 PM,816
12:12:53 PM,817
12:14:53 PM,827
12:16:53 PM,849
12:18:53 PM,857
12:20:53 PM,865
12:22:53 PM,876
12:24:53 PM,868
12:26:53 PM,893
12:28:53 PM,900
12:30:53 PM,907
12:32:53 PM,919
12:34:53 PM,924
12:36:53 PM,908
12:38:54 PM,920
12:40:54 PM,909
12:42:54 PM,912
12:44:54 PM,919
12:46:54 PM,918
12:48:54 PM,927
12:50:54 PM,915
12:52:54 PM,917
12:54:54 PM,901
12:56:54 PM,909
12:58:54 PM,912
1:00:54 PM,926
1:02:54 PM,928
1:04:54 PM,926
1:06:54 PM,943
1:08:54 PM,923
1:10:54 PM,935
1:12:54 PM,951
1:14:54 PM,938
1:16:54 PM,890
1:18:54 PM,859
1:20:54 PM,835
1:22:54 PM,789
1:24:54 PM,760
1:26:54 PM,748
1:28:54 PM,751
1:30:54 PM,718
1:32:54 PM,697
1:34:54 PM,685
1:36:54 PM,676
1:38:54 PM,663
1:40:54 PM,663
1:42:54 PM,646
1:44:54 PM,642
1:46:54 PM,635
1:48:54 PM,635
1:50:54 PM,614
1:52:54 PM,617
1:54:54 PM,586
1:56:54 PM,610
1:58:54 PM,601
2:00:54 PM,598
2:02:54 PM,603
2:04:54 PM,605
2:06:54 PM,643
2:08:54 PM,656
2:10:54 PM,704
2:12:54 PM,739
2:14:54 PM,785
2:16:54 PM,828
2:18:54 PM,846
2:20:54 PM,874
2:22:54 PM,887
2:24:54 PM,884
2:26:54 PM,899
2:28:54 PM,916
2:30:54 PM,922
2:32:54 PM,934
2:34:54 PM,924
2:36:54 PM,941
2:38:54 PM,933
2:40:54 PM,939
2:42:54 PM,949
2:44:54 PM,947
2:46:54 PM,936
2:48:54 PM,948
2:50:54 PM,948
2:52:54 PM,950
2:54:54 PM,1007
